,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3739912189851973,,Intercept,312.69006800414576,313.0,0.30993199585424236,313.0
1,1,grade:A,1.1236779715057843,3.216551565277984e-35,grade,86.69471614978194,87.0,0.3052838502180606,87.0
2,2,grade:B,0.8789081324548615,4.288633097242318e-47,grade,67.81007815148483,68.0,0.18992184851516924,68.0
3,3,grade:C,0.6847875658878259,6.7251687503533e-34,grade,52.83316497518396,53.0,0.16683502481603796,53.0
4,4,grade:D,0.49692147500194633,1.3473466206060406e-20,grade,38.33880107687324,38.0,-0.33880107687323857,38.0
5,5,grade:E,0.32148868134226727,1.0259512242707472e-11,grade,24.803698818609515,25.0,0.1963011813904849,25.0
6,6,grade:F,0.13428544733515732,0.0062412369372400085,grade,10.360476074980197,10.0,-0.3604760749801965,10.0
7,7,home_ownership:OWN,0.093521132586623,3.45667755361904e-06,home_ownership,7.215401786989349,7.0,-0.2154017869893492,7.0
8,8,home_ownership:MORTGAGE,0.10624500105518533,4.4320498907582677e-17,home_ownership,8.197081763976861,8.0,-0.19708176397686117,8.0
9,9,addr_state:NM_VA,0.036016187188120365,0.26088386451046364,addr_state,2.7787437364170446,3.0,0.22125626358295536,3.0
10,10,addr_state:NY,0.05555671169133907,0.02182940420572863,addr_state,4.286346686890728,4.0,-0.2863466868907283,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057994325305898146,0.012260806252475305,addr_state,4.474414999837944,4.0,-0.47441499983794433,4.0
12,12,addr_state:CA,0.06214801807247885,0.0033766507706606145,addr_state,4.79488334086056,5.0,0.20511665913944022,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645555514208939,0.0021497068415649565,addr_state,5.898747523042745,6.0,0.1012524769572547,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344046202342444,3.1503562377600396e-09,addr_state,10.295283231826698,10.0,-0.2952832318266978,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.0978941841566025,0.0010332283913265323,addr_state,7.5527942376571255,8.0,0.44720576234287446,8.0
16,16,addr_state:GA_WA_OR,0.18376191938415617,5.573699814782723e-12,addr_state,14.17771625334966,14.0,-0.17771625334965968,14.0
17,17,addr_state:WI_MT,0.23788378631029458,5.644237370440796e-07,addr_state,18.353360886099928,18.0,-0.353360886099928,18.0
18,18,addr_state:TX,0.22095654179694132,1.8382290499877437e-17,addr_state,17.047379372271205,17.0,-0.047379372271205256,17.0
19,19,addr_state:IL_CT,0.2598987306215484,5.67852682632732e-19,addr_state,20.051871844323855,20.0,-0.0518718443238555,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31855861385164574,5.12760778046637e-25,addr_state,24.577636391614767,25.0,0.4223636083852327,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219681976969015,1.071076268603412e-22,addr_state,40.2712217254792,40.0,-0.27122172547920087,40.0
22,22,verification_status:Not Verified,0.08571405668765478,4.385795324510539e-09,verification_status,6.613065311429661,7.0,0.38693468857033864,7.0
23,23,verification_status:Source Verified,-0.011189211404008787,0.40477735947935367,verification_status,-0.8632771409681866,-1.0,-0.13672285903181336,-1.0
24,24,purpose:credit_card,0.3018660858570204,1.2495532454370112e-26,purpose,23.289763875633096,23.0,-0.2897638756330956,23.0
25,25,purpose:debt_consolidation,0.19809246261933208,2.4977908548974737e-14,purpose,15.283355421821474,15.0,-0.283355421821474,15.0
26,26,purpose:oth__med__vacation,0.21282072873930083,7.73535376384108e-12,purpose,16.419679958768732,16.0,-0.4196799587687323,16.0
27,27,purpose:major_purch__car__home_impr,0.2662631595683516,1.4726439104578474e-17,purpose,20.54290430646171,21.0,0.4570956935382888,21.0
28,28,initial_list_status:w,0.05382419781072048,3.742496893350922e-05,initial_list_status,4.152678676202123,4.0,-0.1526786762021226,4.0
29,29,term:36,0.07894151693269869,1.631414478878129e-08,term,6.090546025159209,6.0,-0.09054602515920873,6.0
30,30,emp_length:1,0.09915877792586356,0.0001314257492662508,emp_length,7.6503609788863365,8.0,0.3496390211136635,8.0
31,31,emp_length:2-4,0.12585623568590715,2.5922406703719165e-11,emp_length,9.710140187093284,10.0,0.28985981290671603,10.0
32,32,emp_length:5-6,0.091094492409472,2.080467350714459e-05,emp_length,7.028180103650797,7.0,-0.02818010365079715,7.0
33,33,emp_length:7-9,0.06114554342461791,0.003285679990806469,emp_length,4.717539780474488,5.0,0.2824602195255119,5.0
34,34,emp_length:10,0.12504182417242307,1.1798101951694063e-11,emp_length,9.647306193030019,10.0,0.352693806969981,10.0
35,35,mths_since_issue_d:<38,1.084223048524305,4.675125057238084e-181,mths_since_issue_d,83.65066488658314,84.0,0.3493351134168563,84.0
36,36,mths_since_issue_d:38-39,0.8792093470400156,1.0144912838973889e-149,mths_since_issue_d,67.83331765036466,68.0,0.16668234963533735,68.0
37,37,mths_since_issue_d:40-41,0.7782696373834058,5.572112809863434e-124,mths_since_issue_d,60.045553096081825,60.0,-0.04555309608182512,60.0
38,38,mths_since_issue_d:42-48,0.5771854346627624,1.0650895768283023e-87,mths_since_issue_d,44.5313770428569,45.0,0.4686229571430971,45.0
39,39,mths_since_issue_d:49-52,0.4157096139213115,8.17609999374918e-41,mths_since_issue_d,32.073092018835595,32.0,-0.07309201883559524,32.0
40,40,mths_since_issue_d:53-64,0.16995452572493133,5.927229638868039e-09,mths_since_issue_d,13.112439453048307,13.0,-0.1124394530483066,13.0
41,41,mths_since_issue_d:65-84,-0.0717694012568146,0.014096865408946817,mths_since_issue_d,-5.537198403793143,-6.0,-0.462801596206857,-6.0
42,42,int_rate:<9.548,0.8831170250577212,3.59422277915222e-31,int_rate,68.13480530531598,68.0,-0.13480530531597879,68.0
43,43,int_rate:9.548-12.025,0.5586722782569825,5.9159326054420116e-36,int_rate,43.10303824799308,43.0,-0.10303824799307648,43.0
